levels,spacing_pct,total_pnl,max_drawdown_pct,total_fills,sharpe_ratio
3,1.0,116.51,53.81,57,2.6633
3,1.0,116.51,53.81,57,2.6633
3,1.0,116.51,53.81,57,2.6633
3,1.0,116.51,53.81,57,2.6633
3,1.0,116.51,53.81,57,2.6633
3,1.0,116.51,53.81,57,2.6633
3,1.0,116.51,53.81,57,2.6633
6,1.0,58.26,36.81,57,2.6633
6,1.0,58.26,36.81,57,2.6633
6,1.0,58.26,36.81,57,2.6633
6,1.0,58.26,36.81,57,2.6633
6,1.0,58.26,36.81,57,2.6633
6,1.0,58.26,36.81,57,2.6633
6,1.0,58.26,36.81,57,2.6633
12,1.0,29.13,22.56,57,2.6633
12,1.0,29.13,22.56,57,2.6633
12,1.0,29.13,22.56,57,2.6633
12,1.0,29.13,22.56,57,2.6633
12,1.0,29.13,22.56,57,2.6633
12,1.0,29.13,22.56,57,2.6633
12,1.0,29.13,22.56,57,2.6633
4,1.0,87.38,46.63,57,2.6633
4,1.0,87.38,46.63,57,2.6633
4,1.0,87.38,46.63,57,2.6633
4,1.0,87.38,46.63,57,2.6633
4,1.0,87.38,46.63,57,2.6633
4,1.0,87.38,46.63,57,2.6633
4,1.0,87.38,46.63,57,2.6633
5,1.0,69.91,41.14,57,2.6633
5,1.0,69.91,41.14,57,2.6633
5,1.0,69.91,41.14,57,2.6633
5,1.0,69.91,41.14,57,2.6633
5,1.0,69.91,41.14,57,2.6633
5,1.0,69.91,41.14,57,2.6633
5,1.0,69.91,41.14,57,2.6633
8,1.0,43.69,30.41,57,2.6633
8,1.0,43.69,30.41,57,2.6633
8,1.0,43.69,30.41,57,2.6633
8,1.0,43.69,30.41,57,2.6633
8,1.0,43.69,30.41,57,2.6633
8,1.0,43.69,30.41,57,2.6633
8,1.0,43.69,30.41,57,2.6633
10,1.0,34.95,25.9,57,2.6633
10,1.0,34.95,25.9,57,2.6633
10,1.0,34.95,25.9,57,2.6633
10,1.0,34.95,25.9,57,2.6633
10,1.0,34.95,25.9,57,2.6633
10,1.0,34.95,25.9,57,2.6633
10,1.0,34.95,25.9,57,2.6633
3,0.75,187.09,65.17,109,2.2861
3,0.75,187.09,65.17,109,2.2861
3,0.75,187.09,65.17,109,2.2861
3,0.75,187.09,65.17,109,2.2861
3,0.75,187.09,65.17,109,2.2861
3,0.75,187.09,65.17,109,2.2861
3,0.75,187.09,65.17,109,2.2861
4,0.75,144.27,59.06,110,2.1313
4,0.75,144.27,59.06,110,2.1313
4,0.75,144.27,59.06,110,2.1313
4,0.75,144.27,59.06,110,2.1313
4,0.75,144.27,59.06,110,2.1313
4,0.75,144.27,59.06,110,2.1313
4,0.75,144.27,59.06,110,2.1313
5,0.75,115.42,53.58,110,2.1313
5,0.75,115.42,53.58,110,2.1313
5,0.75,115.42,53.58,110,2.1313
5,0.75,115.42,53.58,110,2.1313
5,0.75,115.42,53.58,110,2.1313
5,0.75,115.42,53.58,110,2.1313
5,0.75,115.42,53.58,110,2.1313
6,0.75,96.18,49.03,110,2.1313
6,0.75,96.18,49.03,110,2.1313
6,0.75,96.18,49.03,110,2.1313
6,0.75,96.18,49.03,110,2.1313
6,0.75,96.18,49.03,110,2.1313
6,0.75,96.18,49.03,110,2.1313
6,0.75,96.18,49.03,110,2.1313
8,0.75,72.14,41.91,110,2.1313
8,0.75,72.14,41.91,110,2.1313
8,0.75,72.14,41.91,110,2.1313
8,0.75,72.14,41.91,110,2.1313
8,0.75,72.14,41.91,110,2.1313
8,0.75,72.14,41.91,110,2.1313
8,0.75,72.14,41.91,110,2.1313
10,0.75,57.71,36.59,110,2.1313
10,0.75,57.71,36.59,110,2.1313
10,0.75,57.71,36.59,110,2.1313
10,0.75,57.71,36.59,110,2.1313
10,0.75,57.71,36.59,110,2.1313
10,0.75,57.71,36.59,110,2.1313
10,0.75,57.71,36.59,110,2.1313
12,0.75,48.09,32.47,110,2.1313
12,0.75,48.09,32.47,110,2.1313
12,0.75,48.09,32.47,110,2.1313
12,0.75,48.09,32.47,110,2.1313
12,0.75,48.09,32.47,110,2.1313
12,0.75,48.09,32.47,110,2.1313
12,0.75,48.09,32.47,110,2.1313
3,0.5,271.69,73.1,194,1.8933
3,0.5,271.69,73.1,194,1.8933
3,0.5,271.69,73.1,194,1.8933
3,0.5,271.69,73.1,194,1.8933
3,0.5,271.69,73.1,194,1.8933
3,0.5,271.69,73.1,194,1.8933
3,0.5,271.69,73.1,194,1.8933
4,0.5,225.14,69.24,203,1.8205
4,0.5,225.14,69.24,203,1.8205
4,0.5,225.14,69.24,203,1.8205
4,0.5,225.14,69.24,203,1.8205
4,0.5,225.14,69.24,203,1.8205
4,0.5,225.14,69.24,203,1.8205
4,0.5,225.14,69.24,203,1.8205
3,0.4,336.39,77.08,264,1.7948
3,0.4,336.39,77.08,264,1.7948
3,0.4,336.39,77.08,264,1.7948
3,0.4,336.39,77.08,264,1.7948
3,0.4,336.39,77.08,264,1.7948
3,0.4,336.39,77.08,264,1.7948
3,0.4,336.39,77.08,264,1.7948
4,0.4,286.38,74.12,281,1.7627
4,0.4,286.38,74.12,281,1.7627
4,0.4,286.38,74.12,281,1.7627
4,0.4,286.38,74.12,281,1.7627
4,0.4,286.38,74.12,281,1.7627
4,0.4,286.38,74.12,281,1.7627
4,0.4,286.38,74.12,281,1.7627
5,0.5,189.57,65.47,207,1.7449
