levels,spacing_pct,total_pnl,max_drawdown_pct,total_fills,sharpe_ratio
4,1.0,1842.65,94.85,22,3.0256
4,1.0,1842.65,94.85,22,3.0256
4,1.0,1842.65,94.85,22,3.0256
4,1.0,1842.65,94.85,22,3.0256
4,1.0,1842.65,94.85,22,3.0256
4,1.0,1842.65,94.85,22,3.0256
4,1.0,1842.65,94.85,22,3.0256
4,1.0,1842.65,94.85,22,3.0256
8,1.0,921.33,90.21,22,3.0256
8,1.0,921.33,90.21,22,3.0256
8,1.0,921.33,90.21,22,3.0256
8,1.0,921.33,90.21,22,3.0256
8,1.0,921.33,90.21,22,3.0256
8,1.0,921.33,90.21,22,3.0256
8,1.0,921.33,90.21,22,3.0256
8,1.0,921.33,90.21,22,3.0256
3,1.0,2456.87,96.09,22,3.0256
3,1.0,2456.87,96.09,22,3.0256
3,1.0,2456.87,96.09,22,3.0256
3,1.0,2456.87,96.09,22,3.0256
3,1.0,2456.87,96.09,22,3.0256
3,1.0,2456.87,96.09,22,3.0256
3,1.0,2456.87,96.09,22,3.0256
3,1.0,2456.87,96.09,22,3.0256
5,1.0,1474.12,93.65,22,3.0256
5,1.0,1474.12,93.65,22,3.0256
5,1.0,1474.12,93.65,22,3.0256
5,1.0,1474.12,93.65,22,3.0256
5,1.0,1474.12,93.65,22,3.0256
5,1.0,1474.12,93.65,22,3.0256
5,1.0,1474.12,93.65,22,3.0256
5,1.0,1474.12,93.65,22,3.0256
6,1.0,1228.43,92.47,22,3.0256
6,1.0,1228.43,92.47,22,3.0256
6,1.0,1228.43,92.47,22,3.0256
6,1.0,1228.43,92.47,22,3.0256
6,1.0,1228.43,92.47,22,3.0256
6,1.0,1228.43,92.47,22,3.0256
6,1.0,1228.43,92.47,22,3.0256
6,1.0,1228.43,92.47,22,3.0256
10,1.0,737.06,88.05,22,3.0256
10,1.0,737.06,88.05,22,3.0256
10,1.0,737.06,88.05,22,3.0256
10,1.0,737.06,88.05,22,3.0256
10,1.0,737.06,88.05,22,3.0256
10,1.0,737.06,88.05,22,3.0256
10,1.0,737.06,88.05,22,3.0256
10,1.0,737.06,88.05,22,3.0256
12,1.0,614.22,86.0,22,3.0256
12,1.0,614.22,86.0,22,3.0256
12,1.0,614.22,86.0,22,3.0256
12,1.0,614.22,86.0,22,3.0256
12,1.0,614.22,86.0,22,3.0256
12,1.0,614.22,86.0,22,3.0256
12,1.0,614.22,86.0,22,3.0256
12,1.0,614.22,86.0,22,3.0256
4,0.75,2736.02,96.47,42,2.3771
4,0.75,2736.02,96.47,42,2.3771
4,0.75,2736.02,96.47,42,2.3771
4,0.75,2736.02,96.47,42,2.3771
4,0.75,2736.02,96.47,42,2.3771
4,0.75,2736.02,96.47,42,2.3771
4,0.75,2736.02,96.47,42,2.3771
4,0.75,2736.02,96.47,42,2.3771
8,0.75,1368.01,93.19,42,2.3771
8,0.75,1368.01,93.19,42,2.3771
8,0.75,1368.01,93.19,42,2.3771
8,0.75,1368.01,93.19,42,2.3771
8,0.75,1368.01,93.19,42,2.3771
8,0.75,1368.01,93.19,42,2.3771
8,0.75,1368.01,93.19,42,2.3771
8,0.75,1368.01,93.19,42,2.3771
3,0.75,3648.03,97.33,42,2.3771
3,0.75,3648.03,97.33,42,2.3771
3,0.75,3648.03,97.33,42,2.3771
3,0.75,3648.03,97.33,42,2.3771
3,0.75,3648.03,97.33,42,2.3771
3,0.75,3648.03,97.33,42,2.3771
3,0.75,3648.03,97.33,42,2.3771
3,0.75,3648.03,97.33,42,2.3771
5,0.75,2188.82,95.63,42,2.3771
5,0.75,2188.82,95.63,42,2.3771
5,0.75,2188.82,95.63,42,2.3771
5,0.75,2188.82,95.63,42,2.3771
5,0.75,2188.82,95.63,42,2.3771
5,0.75,2188.82,95.63,42,2.3771
5,0.75,2188.82,95.63,42,2.3771
5,0.75,2188.82,95.63,42,2.3771
6,0.75,1824.02,94.8,42,2.3771
6,0.75,1824.02,94.8,42,2.3771
6,0.75,1824.02,94.8,42,2.3771
6,0.75,1824.02,94.8,42,2.3771
6,0.75,1824.02,94.8,42,2.3771
6,0.75,1824.02,94.8,42,2.3771
6,0.75,1824.02,94.8,42,2.3771
6,0.75,1824.02,94.8,42,2.3771
10,0.75,1094.41,91.63,42,2.3771
10,0.75,1094.41,91.63,42,2.3771
10,0.75,1094.41,91.63,42,2.3771
10,0.75,1094.41,91.63,42,2.3771
10,0.75,1094.41,91.63,42,2.3771
10,0.75,1094.41,91.63,42,2.3771
10,0.75,1094.41,91.63,42,2.3771
10,0.75,1094.41,91.63,42,2.3771
12,0.75,912.01,90.12,42,2.3771
12,0.75,912.01,90.12,42,2.3771
12,0.75,912.01,90.12,42,2.3771
12,0.75,912.01,90.12,42,2.3771
12,0.75,912.01,90.12,42,2.3771
12,0.75,912.01,90.12,42,2.3771
12,0.75,912.01,90.12,42,2.3771
12,0.75,912.01,90.12,42,2.3771
3,0.5,6591.72,98.51,115,1.373
3,0.5,6591.72,98.51,115,1.373
3,0.5,6591.72,98.51,115,1.373
3,0.5,6591.72,98.51,115,1.373
3,0.5,6591.72,98.51,115,1.373
3,0.5,6591.72,98.51,115,1.373
3,0.5,6591.72,98.51,115,1.373
3,0.5,6591.72,98.51,115,1.373
4,0.5,5130.82,98.09,116,1.3176
4,0.5,5130.82,98.09,116,1.3176
4,0.5,5130.82,98.09,116,1.3176
4,0.5,5130.82,98.09,116,1.3176
4,0.5,5130.82,98.09,116,1.3176
4,0.5,5130.82,98.09,116,1.3176
4,0.5,5130.82,98.09,116,1.3176
4,0.5,5130.82,98.09,116,1.3176
5,0.5,4104.66,97.62,116,1.3176
5,0.5,4104.66,97.62,116,1.3176
5,0.5,4104.66,97.62,116,1.3176
5,0.5,4104.66,97.62,116,1.3176
5,0.5,4104.66,97.62,116,1.3176
5,0.5,4104.66,97.62,116,1.3176
5,0.5,4104.66,97.62,116,1.3176
5,0.5,4104.66,97.62,116,1.3176
8,0.5,2565.41,96.25,116,1.3176
8,0.5,2565.41,96.25,116,1.3176
8,0.5,2565.41,96.25,116,1.3176
8,0.5,2565.41,96.25,116,1.3176
8,0.5,2565.41,96.25,116,1.3176
8,0.5,2565.41,96.25,116,1.3176
8,0.5,2565.41,96.25,116,1.3176
8,0.5,2565.41,96.25,116,1.3176
10,0.5,2052.33,95.35,116,1.3176
10,0.5,2052.33,95.35,116,1.3176
10,0.5,2052.33,95.35,116,1.3176
10,0.5,2052.33,95.35,116,1.3176
10,0.5,2052.33,95.35,116,1.3176
10,0.5,2052.33,95.35,116,1.3176
10,0.5,2052.33,95.35,116,1.3176
10,0.5,2052.33,95.35,116,1.3176
6,0.5,3420.55,97.16,116,1.3176
6,0.5,3420.55,97.16,116,1.3176
6,0.5,3420.55,97.16,116,1.3176
6,0.5,3420.55,97.16,116,1.3176
6,0.5,3420.55,97.16,116,1.3176
6,0.5,3420.55,97.16,116,1.3176
6,0.5,3420.55,97.16,116,1.3176
6,0.5,3420.55,97.16,116,1.3176
12,0.5,1710.27,94.48,116,1.3176
12,0.5,1710.27,94.48,116,1.3176
12,0.5,1710.27,94.48,116,1.3176
12,0.5,1710.27,94.48,116,1.3176
12,0.5,1710.27,94.48,116,1.3176
12,0.5,1710.27,94.48,116,1.3176
12,0.5,1710.27,94.48,116,1.3176
12,0.5,1710.27,94.48,116,1.3176
3,0.4,7260.89,98.64,165,1.1799
3,0.4,7260.89,98.64,165,1.1799
3,0.4,7260.89,98.64,165,1.1799
3,0.4,7260.89,98.64,165,1.1799
3,0.4,7260.89,98.64,165,1.1799
3,0.4,7260.89,98.64,165,1.1799
3,0.4,7260.89,98.64,165,1.1799
3,0.4,7260.89,98.64,165,1.1799
4,0.4,6125.74,98.39,170,1.1278
4,0.4,6125.74,98.39,170,1.1278
4,0.4,6125.74,98.39,170,1.1278
4,0.4,6125.74,98.39,170,1.1278
4,0.4,6125.74,98.39,170,1.1278
4,0.4,6125.74,98.39,170,1.1278
4,0.4,6125.74,98.39,170,1.1278
4,0.4,6125.74,98.39,170,1.1278
6,0.4,4208.51,97.68,171,1.099
6,0.4,4208.51,97.68,171,1.099
6,0.4,4208.51,97.68,171,1.099
6,0.4,4208.51,97.68,171,1.099
6,0.4,4208.51,97.68,171,1.099
6,0.4,4208.51,97.68,171,1.099
6,0.4,4208.51,97.68,171,1.099
6,0.4,4208.51,97.68,171,1.099
12,0.4,2104.26,95.46,171,1.099
12,0.4,2104.26,95.46,171,1.099
12,0.4,2104.26,95.46,171,1.099
12,0.4,2104.26,95.46,171,1.099
12,0.4,2104.26,95.46,171,1.099
12,0.4,2104.26,95.46,171,1.099
12,0.4,2104.26,95.46,171,1.099
12,0.4,2104.26,95.46,171,1.099
5,0.4,5050.22,98.06,171,1.099
5,0.4,5050.22,98.06,171,1.099
5,0.4,5050.22,98.06,171,1.099
5,0.4,5050.22,98.06,171,1.099
5,0.4,5050.22,98.06,171,1.099
5,0.4,5050.22,98.06,171,1.099
5,0.4,5050.22,98.06,171,1.099
5,0.4,5050.22,98.06,171,1.099
8,0.4,3156.38,96.93,171,1.099
8,0.4,3156.38,96.93,171,1.099
8,0.4,3156.38,96.93,171,1.099
8,0.4,3156.38,96.93,171,1.099
8,0.4,3156.38,96.93,171,1.099
8,0.4,3156.38,96.93,171,1.099
8,0.4,3156.38,96.93,171,1.099
8,0.4,3156.38,96.93,171,1.099
10,0.4,2525.11,96.19,171,1.099
10,0.4,2525.11,96.19,171,1.099
10,0.4,2525.11,96.19,171,1.099
10,0.4,2525.11,96.19,171,1.099
10,0.4,2525.11,96.19,171,1.099
10,0.4,2525.11,96.19,171,1.099
10,0.4,2525.11,96.19,171,1.099
10,0.4,2525.11,96.19,171,1.099
3,0.3,7166.59,98.62,248,0.9793
3,0.3,7166.59,98.62,248,0.9793
3,0.3,7166.59,98.62,248,0.9793
3,0.3,7166.59,98.62,248,0.9793
3,0.3,7166.59,98.62,248,0.9793
3,0.3,7166.59,98.62,248,0.9793
3,0.3,7166.59,98.62,248,0.9793
3,0.3,7166.59,98.62,248,0.9793
4,0.3,6746.3,98.54,262,0.9607
4,0.3,6746.3,98.54,262,0.9607
4,0.3,6746.3,98.54,262,0.9607
4,0.3,6746.3,98.54,262,0.9607
4,0.3,6746.3,98.54,262,0.9607
4,0.3,6746.3,98.54,262,0.9607
4,0.3,6746.3,98.54,262,0.9607
4,0.3,6746.3,98.54,262,0.9607
5,0.3,6000.53,98.36,268,0.9402
5,0.3,6000.53,98.36,268,0.9402
5,0.3,6000.53,98.36,268,0.9402
5,0.3,6000.53,98.36,268,0.9402
5,0.3,6000.53,98.36,268,0.9402
5,0.3,6000.53,98.36,268,0.9402
5,0.3,6000.53,98.36,268,0.9402
5,0.3,6000.53,98.36,268,0.9402
6,0.3,5212.61,98.12,270,0.9226
6,0.3,5212.61,98.12,270,0.9226
6,0.3,5212.61,98.12,270,0.9226
6,0.3,5212.61,98.12,270,0.9226
6,0.3,5212.61,98.12,270,0.9226
6,0.3,5212.61,98.12,270,0.9226
6,0.3,5212.61,98.12,270,0.9226
6,0.3,5212.61,98.12,270,0.9226
12,0.3,2671.97,96.39,271,0.9054
12,0.3,2671.97,96.39,271,0.9054
12,0.3,2671.97,96.39,271,0.9054
12,0.3,2671.97,96.39,271,0.9054
12,0.3,2671.97,96.39,271,0.9054
12,0.3,2671.97,96.39,271,0.9054
12,0.3,2671.97,96.39,271,0.9054
12,0.3,2671.97,96.39,271,0.9054
8,0.3,4007.95,97.57,271,0.9054
8,0.3,4007.95,97.57,271,0.9054
8,0.3,4007.95,97.57,271,0.9054
8,0.3,4007.95,97.57,271,0.9054
8,0.3,4007.95,97.57,271,0.9054
8,0.3,4007.95,97.57,271,0.9054
8,0.3,4007.95,97.57,271,0.9054
8,0.3,4007.95,97.57,271,0.9054
10,0.3,3206.36,96.98,271,0.9054
10,0.3,3206.36,96.98,271,0.9054
10,0.3,3206.36,96.98,271,0.9054
10,0.3,3206.36,96.98,271,0.9054
10,0.3,3206.36,96.98,271,0.9054
10,0.3,3206.36,96.98,271,0.9054
10,0.3,3206.36,96.98,271,0.9054
10,0.3,3206.36,96.98,271,0.9054
5,0.25,6498.21,98.52,353,0.8156
5,0.25,6498.21,98.52,353,0.8156
5,0.25,6498.21,98.52,353,0.8156
5,0.25,6498.21,98.52,353,0.8156
5,0.25,6498.21,98.52,353,0.8156
5,0.25,6498.21,98.52,353,0.8156
5,0.25,6498.21,98.52,353,0.8156
6,0.25,5918.08,98.37,359,0.8117
6,0.25,5918.08,98.37,359,0.8117
6,0.25,5918.08,98.37,359,0.8117
6,0.25,5918.08,98.37,359,0.8117
6,0.25,5918.08,98.37,359,0.8117
6,0.25,5918.08,98.37,359,0.8117
6,0.25,5918.08,98.37,359,0.8117
4,0.25,6782.29,98.59,340,0.8104
4,0.25,6782.29,98.59,340,0.8104
4,0.25,6782.29,98.59,340,0.8104
4,0.25,6782.29,98.59,340,0.8104
4,0.25,6782.29,98.59,340,0.8104
4,0.25,6782.29,98.59,340,0.8104
4,0.25,6782.29,98.59,340,0.8104
8,0.25,4686.22,97.94,362,0.7969
8,0.25,4686.22,97.94,362,0.7969
8,0.25,4686.22,97.94,362,0.7969
8,0.25,4686.22,97.94,362,0.7969
8,0.25,4686.22,97.94,362,0.7969
8,0.25,4686.22,97.94,362,0.7969
8,0.25,4686.22,97.94,362,0.7969
10,0.25,3748.98,97.43,362,0.7969
10,0.25,3748.98,97.43,362,0.7969
10,0.25,3748.98,97.43,362,0.7969
10,0.25,3748.98,97.43,362,0.7969
10,0.25,3748.98,97.43,362,0.7969
10,0.25,3748.98,97.43,362,0.7969
10,0.25,3748.98,97.43,362,0.7969
12,0.25,3124.15,96.93,362,0.7969
12,0.25,3124.15,96.93,362,0.7969
12,0.25,3124.15,96.93,362,0.7969
12,0.25,3124.15,96.93,362,0.7969
12,0.25,3124.15,96.93,362,0.7969
12,0.25,3124.15,96.93,362,0.7969
12,0.25,3124.15,96.93,362,0.7969
3,0.25,6835.56,98.61,319,0.7774
3,0.25,6835.56,98.61,319,0.7774
3,0.25,6835.56,98.61,319,0.7774
3,0.25,6835.56,98.61,319,0.7774
3,0.25,6835.56,98.61,319,0.7774
3,0.25,6835.56,98.61,319,0.7774
3,0.25,6835.56,98.61,319,0.7774
6,0.25,5764.23,98.33,359,0.7463
5,0.25,6313.59,98.48,353,0.7423
8,0.25,4570.84,97.89,362,0.7381
10,0.25,3656.67,97.37,362,0.7381
12,0.25,3047.22,96.85,362,0.7381
4,0.25,6551.52,98.54,340,0.7217
8,0.2,5244.88,98.3,490,0.716
8,0.2,5244.88,98.3,490,0.716
8,0.2,5244.88,98.3,490,0.716
8,0.2,5244.88,98.3,490,0.716
8,0.2,5244.88,98.3,490,0.716
8,0.2,5244.88,98.3,490,0.716
8,0.2,5244.88,98.3,490,0.716
6,0.2,5927.68,98.54,477,0.7156
6,0.2,5927.68,98.54,477,0.7156
6,0.2,5927.68,98.54,477,0.7156
6,0.2,5927.68,98.54,477,0.7156
6,0.2,5927.68,98.54,477,0.7156
6,0.2,5927.68,98.54,477,0.7156
6,0.2,5927.68,98.54,477,0.7156
12,0.2,3665.01,97.5,493,0.707
12,0.2,3665.01,97.5,493,0.707
12,0.2,3665.01,97.5,493,0.707
12,0.2,3665.01,97.5,493,0.707
12,0.2,3665.01,97.5,493,0.707
12,0.2,3665.01,97.5,493,0.707
12,0.2,3665.01,97.5,493,0.707
10,0.2,4398.01,97.94,493,0.707
10,0.2,4398.01,97.94,493,0.707
10,0.2,4398.01,97.94,493,0.707
10,0.2,4398.01,97.94,493,0.707
10,0.2,4398.01,97.94,493,0.707
10,0.2,4398.01,97.94,493,0.707
10,0.2,4398.01,97.94,493,0.707
5,0.2,6016.12,98.6,463,0.7037
5,0.2,6016.12,98.6,463,0.7037
5,0.2,6016.12,98.6,463,0.7037
5,0.2,6016.12,98.6,463,0.7037
5,0.2,6016.12,98.6,463,0.7037
