levels,spacing_pct,total_pnl,max_drawdown_pct,total_fills,sharpe_ratio
3,1.0,3659.26,0.0,28,2.11
3,1.0,3659.26,0.0,28,2.11
3,1.0,3659.26,0.0,28,2.11
3,1.0,3659.26,0.0,28,2.11
3,1.0,3659.26,0.0,28,2.11
3,0.75,6161.11,0.0,66,1.8963
3,0.75,6161.11,0.0,66,1.8963
3,0.75,6161.11,0.0,66,1.8963
3,0.75,6161.11,0.0,66,1.8963
3,0.75,6161.11,0.0,66,1.8963
4,0.75,4892.55,0.0,67,1.6779
4,0.75,4892.55,0.0,67,1.6779
4,0.75,4892.55,0.0,67,1.6779
4,0.75,4892.55,0.0,67,1.6779
4,0.75,4892.55,0.0,67,1.6779
4,1.0,3113.9,0.0,29,1.6084
4,1.0,3113.9,0.0,29,1.6084
4,1.0,3113.9,0.0,29,1.6084
4,1.0,3113.9,0.0,29,1.6084
4,1.0,3113.9,0.0,29,1.6084
3,0.5,9957.9,0.0,186,1.5035
3,0.5,9957.9,0.0,186,1.5035
3,0.5,9957.9,0.0,186,1.5035
3,0.5,9957.9,0.0,186,1.5035
3,0.5,9957.9,0.0,186,1.5035
5,0.75,4189.83,0.0,68,1.4409
5,0.75,4189.83,0.0,68,1.4409
5,0.75,4189.83,0.0,68,1.4409
5,0.75,4189.83,0.0,68,1.4409
5,0.75,4189.83,0.0,68,1.4409
4,0.5,7985.0,0.0,189,1.3806
4,0.5,7985.0,0.0,189,1.3806
4,0.5,7985.0,0.0,189,1.3806
4,0.5,7985.0,0.0,189,1.3806
4,0.5,7985.0,0.0,189,1.3806
5,1.0,2863.98,0.0,30,1.3059
5,1.0,2863.98,0.0,30,1.3059
5,1.0,2863.98,0.0,30,1.3059
5,1.0,2863.98,0.0,30,1.3059
5,1.0,2863.98,0.0,30,1.3059
5,0.5,6745.99,0.0,191,1.263
5,0.5,6745.99,0.0,191,1.263
5,0.5,6745.99,0.0,191,1.263
5,0.5,6745.99,0.0,191,1.263
5,0.5,6745.99,0.0,191,1.263
3,0.4,11593.32,0.0,290,1.2586
3,0.4,11593.32,0.0,290,1.2586
3,0.4,11593.32,0.0,290,1.2586
3,0.4,11593.32,0.0,290,1.2586
3,0.4,11593.32,0.0,290,1.2586
6,0.75,3770.04,0.0,69,1.241
6,0.75,3770.04,0.0,69,1.241
6,0.75,3770.04,0.0,69,1.241
6,0.75,3770.04,0.0,69,1.241
6,0.75,3770.04,0.0,69,1.241
4,0.4,9221.47,0.0,294,1.2072
4,0.4,9221.47,0.0,294,1.2072
4,0.4,9221.47,0.0,294,1.2072
4,0.4,9221.47,0.0,294,1.2072
4,0.4,9221.47,0.0,294,1.2072
6,0.5,5802.8,0.0,192,1.1912
6,0.5,5802.8,0.0,192,1.1912
6,0.5,5802.8,0.0,192,1.1912
6,0.5,5802.8,0.0,192,1.1912
6,0.5,5802.8,0.0,192,1.1912
5,0.4,7790.43,0.0,297,1.1362
5,0.4,7790.43,0.0,297,1.1362
5,0.4,7790.43,0.0,297,1.1362
5,0.4,7790.43,0.0,297,1.1362
5,0.4,7790.43,0.0,297,1.1362
6,1.0,2761.77,0.0,31,1.1251
6,1.0,2761.77,0.0,31,1.1251
6,1.0,2761.77,0.0,31,1.1251
6,1.0,2761.77,0.0,31,1.1251
6,1.0,2761.77,0.0,31,1.1251
12,1.0,1380.89,0.0,31,1.1251
12,1.0,1380.89,0.0,31,1.1251
12,1.0,1380.89,0.0,31,1.1251
12,1.0,1380.89,0.0,31,1.1251
12,1.0,1380.89,0.0,31,1.1251
8,1.0,2071.33,0.0,31,1.1251
8,1.0,2071.33,0.0,31,1.1251
8,1.0,2071.33,0.0,31,1.1251
8,1.0,2071.33,0.0,31,1.1251
8,1.0,2071.33,0.0,31,1.1251
10,1.0,1657.06,0.0,31,1.1251
10,1.0,1657.06,0.0,31,1.1251
10,1.0,1657.06,0.0,31,1.1251
10,1.0,1657.06,0.0,31,1.1251
10,1.0,1657.06,0.0,31,1.1251
6,0.4,6777.6,0.0,299,1.0704
6,0.4,6777.6,0.0,299,1.0704
6,0.4,6777.6,0.0,299,1.0704
6,0.4,6777.6,0.0,299,1.0704
6,0.4,6777.6,0.0,299,1.0704
8,0.5,4697.4,0.0,194,1.023
8,0.5,4697.4,0.0,194,1.023
8,0.5,4697.4,0.0,194,1.023
8,0.5,4697.4,0.0,194,1.023
8,0.5,4697.4,0.0,194,1.023
3,0.3,13305.42,0.0,486,1.0119
3,0.3,13305.42,0.0,486,1.0119
3,0.3,13305.42,0.0,486,1.0119
3,0.3,13305.42,0.0,486,1.0119
3,0.3,13305.42,0.0,486,1.0119
4,0.3,11183.73,0.0,499,0.9948
4,0.3,11183.73,0.0,499,0.9948
4,0.3,11183.73,0.0,499,0.9948
4,0.3,11183.73,0.0,499,0.9948
4,0.3,11183.73,0.0,499,0.9948
8,0.75,3353.7,0.0,71,0.976
8,0.75,3353.7,0.0,71,0.976
8,0.75,3353.7,0.0,71,0.976
8,0.75,3353.7,0.0,71,0.976
8,0.75,3353.7,0.0,71,0.976
10,0.75,2682.96,0.0,71,0.976
10,0.75,2682.96,0.0,71,0.976
10,0.75,2682.96,0.0,71,0.976
10,0.75,2682.96,0.0,71,0.976
10,0.75,2682.96,0.0,71,0.976
